hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Discount,market_segment,Cost,meal
"City Hotel",1,276,2018,July,30,20,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,6/29/2018,0.1,Groups,12.99,BB
"City Hotel",1,278,2018,July,30,22,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,6/29/2018,0.1,Groups,12.99,BB
"City Hotel",1,283,2018,July,31,27,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,6/29/2018,0.1,Groups,12.99,BB
"City Hotel",1,137,2018,July,28,11,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,86,0,0,Canceled,6/29/2018,0.1,Groups,17.99,HB
"City Hotel",1,344,2018,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,170,0,0,Canceled,6/30/2018,0.1,Groups,12.99,BB
"City Hotel",1,138,2018,July,28,11,2,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",8,NULL,0,Transient,76.5,0,1,Canceled,6/30/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,194,2018,July,29,14,1,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,1,"No Deposit",8,NULL,0,Transient,76.5,0,0,Canceled,7/2/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,276,2018,July,30,20,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,276,2018,July,30,20,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,278,2018,July,30,22,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,278,2018,July,30,22,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,278,2018,July,30,22,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,283,2018,July,31,27,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,283,2018,July,31,27,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,283,2018,July,31,27,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,292,2018,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,292,2018,August,32,5,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,294,2018,August,32,7,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,294,2018,August,32,7,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,297,2018,August,33,10,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,297,2018,August,33,10,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,299,2018,August,33,12,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,299,2018,August,33,12,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,304,2018,August,34,17,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,304,2018,August,34,17,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,311,2018,August,35,24,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,311,2018,August,35,24,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,313,2018,August,35,26,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,313,2018,August,35,26,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,323,2018,September,36,5,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,323,2018,September,36,5,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,327,2018,September,37,9,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,327,2018,September,37,9,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,334,2018,September,38,16,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,334,2018,September,38,16,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,341,2018,September,39,23,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,341,2018,September,39,23,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,355,2018,October,41,7,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,355,2018,October,41,7,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,60,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,278,2018,July,30,22,0,2,3,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,"Non Refund",1,NULL,0,Transient-Party,84,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,283,2018,July,31,27,1,1,3,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,"Non Refund",1,NULL,0,Transient-Party,84,0,0,Canceled,7/2/2018,0.1,Groups,12.99,BB
"City Hotel",1,192,2018,July,29,12,2,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,0,Canceled,7/3/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,168,2018,August,34,18,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,0,Canceled,7/3/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,281,2018,July,30,25,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,281,2018,July,30,25,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,290,2018,August,32,3,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,290,2018,August,32,3,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,295,2018,August,32,8,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,295,2018,August,32,8,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,302,2018,August,33,15,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,302,2018,August,33,15,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,312,2018,August,35,25,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,312,2018,August,35,25,0,4,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,323,2018,September,36,5,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,323,2018,September,36,5,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,330,2018,September,37,12,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,330,2018,September,37,12,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,337,2018,September,38,19,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,337,2018,September,38,19,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,351,2018,October,40,3,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,351,2018,October,40,3,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,274,2018,July,29,18,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,274,2018,July,29,18,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Canceled,7/6/2018,0.1,Groups,12.99,BB
"City Hotel",1,180,2018,July,30,19,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,1,"No Deposit",9,NULL,0,Transient,76.5,0,2,Canceled,7/6/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,166,2018,July,29,18,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",7,NULL,0,Transient,55.96,0,0,Canceled,7/6/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,301,2018,August,33,14,0,2,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",6,NULL,0,Transient-Party,101.5,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,336,2018,September,38,18,0,2,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",6,NULL,0,Transient-Party,101.5,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,364,2018,October,42,16,0,2,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",6,NULL,0,Transient-Party,101.5,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,260,2018,September,38,18,0,2,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,1,"Non Refund",6,NULL,0,Transient-Party,80,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,336,2018,September,38,18,0,2,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,1,"Non Refund",6,NULL,0,Transient-Party,80,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,288,2018,October,42,16,0,2,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,1,"Non Refund",6,NULL,0,Transient-Party,80,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,364,2018,October,42,16,0,2,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,1,"Non Refund",6,NULL,0,Transient-Party,80,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,273,2018,July,29,17,0,2,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",6,NULL,0,Transient-Party,101.5,0,0,Canceled,7/6/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,233,2018,September,38,18,0,1,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",6,NULL,0,Transient-Party,120,0,0,Canceled,7/8/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,261,2018,October,42,16,0,1,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",6,NULL,0,Transient-Party,120,0,0,Canceled,7/8/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,135,2018,July,29,16,0,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient-Party,76.5,0,2,Canceled,7/9/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,135,2018,July,29,16,0,3,1,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient-Party,68,0,2,Canceled,7/9/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,151,2018,July,30,25,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,86,0,0,Canceled,7/9/2018,0.1,Groups,17.99,HB
"City Hotel",1,165,2018,August,32,8,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,86,0,0,Canceled,7/9/2018,0.1,Groups,17.99,HB
"City Hotel",1,179,2018,August,34,22,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,86,0,0,Canceled,7/9/2018,0.1,Groups,17.99,HB
"City Hotel",1,200,2018,September,37,12,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,86,0,0,Canceled,7/9/2018,0.1,Groups,17.99,HB
"City Hotel",1,221,2018,October,40,3,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,86,0,0,Canceled,7/9/2018,0.1,Groups,17.99,HB
"City Hotel",1,147,2018,July,30,21,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient,75,0,0,Canceled,7/10/2018,0.1,Groups,12.99,BB
"City Hotel",1,147,2018,July,30,21,0,2,3,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,"No Deposit",1,NULL,0,Transient,99.5,0,0,Canceled,7/10/2018,0.1,Groups,12.99,BB
"City Hotel",1,147,2018,July,30,21,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient,64.5,0,0,Canceled,7/10/2018,0.1,Groups,12.99,BB
"City Hotel",1,147,2018,July,30,21,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient,0,0,0,Canceled,7/10/2018,0.1,Groups,12.99,BB
"City Hotel",1,164,2018,July,30,20,1,2,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,B,B,0,"No Deposit",13,NULL,0,Transient-Party,63.75,0,2,Canceled,7/14/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,154,2018,July,31,27,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,2,Canceled,7/17/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,139,2018,July,30,23,2,6,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,1,Canceled,7/18/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,163,2018,July,30,24,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,1,Canceled,7/20/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,172,2018,July,31,31,0,2,1,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,68,0,2,Canceled,7/20/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,221,2018,October,41,10,2,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",3,NULL,0,Transient-Party,65,0,0,Canceled,7/21/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,256,2018,September,38,14,1,2,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,1,"No Deposit",4,NULL,0,Transient-Party,0,0,0,Canceled,7/22/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,263,2018,September,39,21,1,0,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",4,NULL,0,Transient-Party,96,0,0,Canceled,7/22/2018,0.3,"Offline TA/TO",17.99,HB
"City Hotel",1,358,2018,October,41,10,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,62,0,0,Canceled,7/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,358,2018,October,41,10,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,60,0,0,Canceled,7/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,379,2018,October,44,31,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,62,0,0,Canceled,7/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,379,2018,October,44,31,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,60,0,0,Canceled,7/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,414,2018,December,49,5,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,62,0,0,Canceled,7/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,414,2018,December,49,5,2,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient,60,0,0,Canceled,7/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,195,2018,September,38,17,0,2,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",20,NULL,0,Transient,48,0,0,Canceled,7/23/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,195,2018,September,38,17,0,2,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",20,NULL,0,Transient,48,0,0,Canceled,7/23/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,199,2018,September,39,21,1,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",20,NULL,0,Transient,48,0,0,Canceled,7/23/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,199,2018,September,39,21,1,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",20,NULL,0,Transient,48,0,0,Canceled,7/23/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,207,2018,September,40,28,0,2,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",20,NULL,0,Transient,48,0,0,Canceled,7/23/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,207,2018,September,40,28,0,2,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"Non Refund",20,NULL,0,Transient,48,0,0,Canceled,7/23/2018,0.3,"Offline TA/TO",12.99,BB
